MutantID,TotalTests,KilledTests,Score
475,1,0,0.0
477,1,0,0.0
478,1,1,1.0
479,1,1,1.0
48,1,1,1.0
481,1,1,1.0
482,1,1,1.0
483,2,0,0.0
484,1,0,0.0
485,1,0,0.0
487,1,0,0.0
489,1,0,0.0
49,1,1,1.0
490,1,1,1.0
491,1,1,1.0
493,1,1,1.0
494,1,1,1.0
495,2,0,0.0
496,1,0,0.0
497,1,0,0.0
499,1,0,0.0
5,1,1,1.0
50,1,0,0.0
501,1,0,0.0
502,1,1,1.0
503,1,1,1.0
505,1,1,1.0
506,1,1,1.0
507,2,0,0.0
508,1,0,0.0
509,1,0,0.0
511,1,0,0.0
513,1,0,0.0
514,1,1,1.0
515,1,1,1.0
517,1,1,1.0
518,1,1,1.0
519,3,0,0.0
520,1,0,0.0
521,2,0,0.0
523,2,0,0.0
525,1,0,0.0
526,2,2,1.0
527,1,1,1.0
528,1,1,1.0
529,1,1,1.0
531,1,1,1.0
532,1,1,1.0
533,2,0,0.0
534,1,0,0.0
535,2,0,0.0
537,2,0,0.0
539,1,0,0.0
540,2,2,1.0
541,1,1,1.0
542,1,1,1.0
543,1,1,1.0
545,1,1,1.0
546,1,1,1.0
547,13,0,0.0
548,24,0,0.0
549,13,0,0.0
551,13,0,0.0
552,13,0,0.0
553,1,1,1.0
555,1,1,1.0
556,1,1,1.0
557,1,1,1.0
559,1,1,1.0
560,1,1,1.0
561,1,1,1.0
563,1,1,1.0
564,1,1,1.0
565,1,1,1.0
567,1,1,1.0
568,1,1,1.0
569,1,1,1.0
57,1,0,0.0
571,1,1,1.0
572,1,1,1.0
573,1,1,1.0
575,1,1,1.0
576,1,1,1.0
577,1,1,1.0
579,1,1,1.0
58,1,0,0.0
580,1,1,1.0
581,1,1,1.0
583,1,1,1.0
584,1,1,1.0
585,1,1,1.0
587,1,1,1.0
588,1,1,1.0
589,1,1,1.0
59,5,1,0.2
591,1,1,1.0
592,1,1,1.0
593,1,1,1.0
595,1,1,1.0
596,1,1,1.0
597,1,1,1.0
599,1,1,1.0
6,1,1,1.0
60,5,1,0.2
600,1,1,1.0
603,1,1,1.0
604,1,1,1.0
605,1,1,1.0
607,1,1,1.0
608,1,1,1.0
61,1,1,1.0
611,1,1,1.0
612,1,1,1.0
613,1,1,1.0
615,1,1,1.0
616,1,1,1.0
617,1,0,0.0
618,4,2,0.5
619,1,1,1.0
62,2,0,0.0
621,4,0,0.0
623,4,0,0.0
624,1,1,1.0
625,4,2,0.5
626,1,1,1.0
627,1,1,1.0
628,4,2,0.5
629,1,0,0.0
63,5,1,0.2
630,1,1,1.0
631,1,1,1.0
632,1,1,1.0
633,1,1,1.0
634,1,1,1.0
635,1,1,1.0
636,1,1,1.0
637,1,0,0.0
638,1,1,1.0
639,1,1,1.0
64,2,0,0.0
640,1,1,1.0
641,1,1,1.0
642,1,0,0.0
643,1,1,1.0
644,1,0,0.0
645,1,0,0.0
646,1,0,0.0
647,1,0,0.0
648,1,0,0.0
649,1,0,0.0
65,1,0,0.0
650,1,0,0.0
652,1,0,0.0
653,1,1,1.0
656,1,1,1.0
657,1,0,0.0
658,1,1,1.0
66,5,1,0.2
660,1,0,0.0
661,1,1,1.0
662,1,0,0.0
663,1,1,1.0
664,1,1,1.0
665,1,0,0.0
666,1,1,1.0
667,1,1,1.0
669,1,1,1.0
670,1,1,1.0
671,1,1,1.0
672,1,1,1.0
673,1,0,0.0
674,1,1,1.0
675,1,0,0.0
676,1,1,1.0
677,1,1,1.0
678,1,0,0.0
679,1,1,1.0
68,5,1,0.2
680,1,1,1.0
685,1,0,0.0
686,1,1,1.0
